,user,Tweet,Time
69,AshRite2,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…,2022-06-23 08:37:29+00:00
70,ls_luiss,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:31:45+00:00
71,CLJ40,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 08:31:11+00:00
72,ProfessorP5,"However, if #Putin's #War in #Ukraine isn't enough to unite #Romania and #Moldova, how can I expect it to unify the #West.

#MaiReferendum https://t.co/J68LBiWNRv",2022-06-23 08:28:15+00:00
73,Lx121,"@b_chshevik @EyyRadioFree @gobloid3 #bullshit, #putin INVADED #ukraine to ""restore"" it to the ""greater russian empire"". putin has now SAID SO, #himself. did you miss his ""peter the great"" #crap? your ""peace"" is the same #APPEASEMENT hilter got out of czechoslovakia in 1938. the only ""peace"" putin wants is VICTORY.",2022-06-23 08:27:05+00:00
74,KimmoSasi,"When #EU gives candidate status to #Ukraine, the Council could state that also Russia is wellcome to EU when she fullfils the criteria. If #Putin wants to be Peter the Great he should westernize Russia: democracy, human rights, functionin market economy without corruption, peace.",2022-06-23 08:26:31+00:00
75,LatrBerserkr,"RT @nexta_tv: Aleksey Zhuravlyov is a member of State Duma and leader of the right-wing extremist party ""Rodina"" which openly supports Vlad…",2022-06-23 08:26:27+00:00
76,leifdahlberg,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:24:30+00:00
77,spicciar,"Paralysis in Moscow.
Why #Putin persists with his established strategy, accepting a test of endurance | #Ukraine https://t.co/nToQq4Jtku",2022-06-23 08:23:36+00:00
78,humanwords_,RT @23idiocracy: Warmongers argue we must protect Ukraine because it’s a “democracy” https://t.co/UjM7BmDhhO #Putin #Russia #Ukraine @Tulsi…,2022-06-23 08:21:51+00:00
79,dtalavera2121,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:20:54+00:00
80,Lovepetdog,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:20:06+00:00
81,e_winzar,"RT @Eire353: SO MUCH IN COMMON, GET OVER YOURSELVES AND END THE WAR!
#Putin #Zelensky 
Will the war with #Russia rein in #Ukraine’s 
#oliga…",2022-06-23 08:19:50+00:00
82,instantPopMusic,"RT @nexta_tv: Aleksey Zhuravlyov is a member of State Duma and leader of the right-wing extremist party ""Rodina"" which openly supports Vlad…",2022-06-23 08:18:40+00:00
83,LynnBee93668857,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:17:34+00:00
84,MohammadiRashid,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:17:30+00:00
85,SeanFionn,"RT @ignis_fatum: 🛑🛑🛑Reports of explosions in Mykolayiv and Kherson 
#Ukraine #russia #putin",2022-06-23 08:17:25+00:00
86,SeanFionn,"RT @ignis_fatum: 🚨🚨🚨#BREAKING 
Air raid alert sirens in most of the regions of #Ukraine 
Everyone there’s being asked to take cover and sta…",2022-06-23 08:17:24+00:00
87,GarethPike4,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:17:14+00:00
88,ignis_fatum,"🛑🛑🛑Reports of explosions in Mykolayiv and Kherson 
#Ukraine #russia #putin",2022-06-23 08:17:04+00:00
89,kiraincongress,"We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukraine, to make #putin pay for his actions.

https://t.co/3MDOMnKrFj
@tvn24",2022-06-23 08:15:00+00:00
90,PamelaWarnstadt,"SMART PASSIVE EARNINGS

https://t.co/Kuctf3zAir

#passive #income #money #earn #internet #euro #dollar #stock #exchange #currency #stockbroker #market #bitcoin #btc #distribution #usa #germany #london #pm #man #woman #putin #europe #russia #china #president #moscow  #ukraine #hot https://t.co/DGxPXcqkl8",2022-06-23 08:15:00+00:00
91,LinguaMaxillam,"And it continues.... Putin's double agents, Merkel, Shroeder and Scholz and VonDerLYING still blocking assistance, aid and support to those being MURDERED daily in #UKRAINE  #GERMANNAZIS live on and work side by side with #PUTIN! https://t.co/ea8YLEZyCV",2022-06-23 08:14:20+00:00
92,aftermath_user,"Would incorporating individual territories mean giving up the idea of taking control of the rest of the country?

Check it out: https://t.co/mdtmGwqhSf

#Donbass #Pushilin #Putin #Russia #Ukraine #Warinukraine #separatism #zelenski https://t.co/Ec3Cm4VU6g",2022-06-23 08:08:29+00:00
93,jonic1986,"RT @officejjsmart: Things are getting tight. Losing #Lugansk (#Luhansk), #Ukraine would represent the completion of one of #Putin’s  🇷🇺 ori…",2022-06-23 08:02:09+00:00
94,fitz52006,RT @UxbEconomist07: Quick reminder of US #Inflation path approaching #Ukraine War. Some r asking why Joe #Biden is a able to blame #Putin &amp;…,2022-06-23 08:00:32+00:00
95,GainMoneyFaster,"SMART PASSIVE EARNINGS

https://t.co/CLU7gXSmt1

#passive #income #money #earn #internet #euro #dollar #stock #exchange #currency #stockbroker #market #bitcoin #btc #distribution #usa #germany #london #pm #man #woman #putin #europe #russia #china #president #moscow  #ukraine #hot https://t.co/Z9nF46tLCy",2022-06-23 08:00:01+00:00
96,LibyanAnon,"Starve for democracy! Do it for the #ghostofkyiv! The #Ukraine is the only democracy in #Russia!
#Putin bad, #Zelensky good! https://t.co/Snip24gyWm",2022-06-23 07:57:24+00:00
97,gmirela67,"RT @nexta_tv: Aleksey Zhuravlyov is a member of State Duma and leader of the right-wing extremist party ""Rodina"" which openly supports Vlad…",2022-06-23 07:56:46+00:00
98,augustoalberto1,"RT @nexta_tv: Aleksey Zhuravlyov is a member of State Duma and leader of the right-wing extremist party ""Rodina"" which openly supports Vlad…",2022-06-23 07:54:56+00:00
99,bloomsbury1918,"Cancer, covid, toothache, time travel, famine, inequality, infrastructure, social security, Inflation, recession, purchasing power, taxes #Ukraine cereals! — solve all your problems! Sponsored by  US, Canada, UK, EU govt's privilege bubble.

#Russia #Putin",2022-06-23 07:53:02+00:00
100,paulknott11,"@nexta_tv I was recently in a region of the world where millions of people are struggling to find food due to #Putin's forced famine. That his cronies like Simonyan find this funny tells you everything you need to know about the utter sickness of #Russia today.
#Food #FoodCrisis #Ukraine",2022-06-23 07:51:51+00:00
101,HOPE4THE_FUTURE,RT @periclesukraine: #Ukraine  Chinese President #XiJinping has reaffirmed his country’s support for #Moscow on issues of sovereignty and s…,2022-06-23 07:50:51+00:00
102,SonofMa02951466,"#china supports #putin 
#putin invaded #Ukraine 
#boycottchina #BoycottRussia 
Do it now.  Thank me later.",2022-06-23 07:50:24+00:00
103,Unlearning1,KIM GOGUEN: URGENT UPDATES &amp; Q&amp;A w/ ICE MAN / REVEAL REPORT 👇 https://t.co/xGpxbpfhOd #inflation #putin #ukraine #multiverse #geonews #worldnews #kimgoguen #iceman #revealreport #GeoNews,2022-06-23 07:50:12+00:00
104,SweWScommittee,"Put occupiers and their supporters in front of the @IntlCrimCourt.
@Ayelet__Shaked
#Ukraine #Putin
#WesternSahara #Trump
#Palestine 
https://t.co/ZFHDwJnuVf",2022-06-23 07:48:52+00:00
105,HerryNapit,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…",2022-06-23 07:48:12+00:00
106,HerryNapit,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…,2022-06-23 07:47:13+00:00
