Unnamed: 0,user,Tweet,Time
64,_Thirunarayan1,"MTP NOW June 21 — Katie Hobbs, Rick Hasen, Steve Kornacki 
https://t.co/AAycel3tVw 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #shorts #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 22:22:56+00:00
65,blanketcrap,RT @HerryNapit: Russia: Did Putin try to poison a peace delegation in Ukraine? 😱https://t.co/chBO92vJbD #Putin☠️ #Russia #Rusia #Russian #R…,2022-06-21 22:21:58+00:00
66,blanketcrap,"RT @HerryNapit: Ukraine war: Putin creates global food, fuel and financial crisis, push millions of people in Afghanistan, Lebanon, Myanmar…",2022-06-21 22:21:54+00:00
67,blanketcrap,"RT @HerryNapit: Lysychansk. The father saw his son's body.

""Russian Peace"" congratulates on Father's Day💔

#Lysychansk #Ukraine #Ukraina #…",2022-06-21 22:21:44+00:00
68,socialismoolib1,"🇺🇦#UKRAINE #UKRAINERUSSIAWAR 

#News 

🔫06/21/2022 Day 117 

🇷🇺Genocidal dictator #Putin communist #Russia

Control all of #Severodonetsk with exception of #Azot industrial zone, where fights continue 

#Ukrainian #partisans complicate efforts by Russia to control occupied areas https://t.co/SNgIJcinQf",2022-06-21 22:21:31+00:00
69,blanketcrap,"RT @HerryNapit: #Russia's invasion of #Ukraine worsens crises in Afghanistan, Lebanon, Myanmar, Palestine, Syria, Yemen, Tigray, Africa.…",2022-06-21 22:21:25+00:00
70,BLURTHEGHOST,"We need to get #PUTHIMDOWN(vladimir putin)trending.

#putin #russia #UKRAINE",2022-06-21 22:19:44+00:00
71,IahRataza,The World needs #love  https://t.co/JCFpVIzYhr  #hiphop #comiccon #dccomics #rap #marvel #wd3 #Midterms2022  #NBA #playlists #Avengers #photo #ukraine #CaptainAmerica #DC #fintech #art #photography #picoftheday #putin #draymondgreen #AMC #cinematography #comicbooks #hiphop #June https://t.co/26TqgYnnH3,2022-06-21 22:18:18+00:00
72,Vince28548162,@DonaldJTrumpJr Hey #Ukraine. Photo ops like this just give #Putin more determination.,2022-06-21 22:18:14+00:00
73,789Bigsky,"Would it not be sensible, to allocate 25% of #US inventory to #Ukraine?  The longer we wait, the fewer pilots and mechanics will be alive to operate. 1-200 souls are lost daily. #Putin won't stop at #Ukraine He surely will march across Europe. Acting now will save #American lives https://t.co/79z04F4pK4",2022-06-21 22:16:59+00:00
74,HouseOfGab,"#Ukrainewood #Ukraine #Russia #Putin #BenStiller #Zelensky #Actor #Hollywood #Actors #Pallywood 

""All the world's a stage"" https://t.co/I4ejHDc8PI",2022-06-21 22:15:46+00:00
75,selinb,"@mog7546 I keep saying that #Turkey is NO friend of #Ukraine.
Fascist #Erdogan supports #Fascist #Putin.",2022-06-21 22:14:40+00:00
76,SpreadArguments,"[52sec] #Ukraine joining #EU - Greater unification - will be a powerful answer to #Putin's plan to split EU.

Spread this strong argument if you #SupportUkraine and want the the #RussianUkrainianWar to end!

#StandWithUkraine️ @UA_EUMission @EUDelegationUA @ukraineoffice https://t.co/NEmXJ8KtGm",2022-06-21 22:06:21+00:00
77,_Thirunarayan1,"Highlights From Jan. 6 Committee Hearing On Threats To Election Officials 
https://t.co/d2Vy5CNly3 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #shorts #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 22:02:54+00:00
78,Richard97932715,"RT @Mariia_Zolkina: To understand strategic loss of #Russia in its war against #Ukraine pay attention to this: tomorrow, on June, 22, the s…",2022-06-21 22:01:49+00:00
79,PoliticalTom,Bravo; remind #Putin that his war's not over until it's over           ///         #Ukraine's partisans continuing to harass #Russia's invasion troops in occupied territories https://t.co/3ElXx86ipx via @Yahoo,2022-06-21 22:01:26+00:00
80,moveebuff1953,"So many innocent lives gone because of #Putin &amp; his #RussianInvaders...who are murdering, torturing, raping innocent #ukrainians...Can't wait until the #Russians are gone permanently from #Ukraine.
#ARmUkraineNow https://t.co/U5HcUUrcLJ",2022-06-21 21:59:04+00:00
81,missy1275,RT @raging545: IMAGES of fires from Ukrainian strikes on a suspected Russian ammo depot in New Kakhovka app 30km East of Kherson #Ukraine #…,2022-06-21 21:58:38+00:00
82,Boris_Kogen,RT @WilhelmOrmstein: 🇷🇺🇺🇦 Two Ukrainian soldiers who were taken prisoner refused to be exchanged for Ukraine and applied for Russian citize…,2022-06-21 21:58:17+00:00
83,mccandlessp,"RT @mccandlessp: History and Other Stuff: Putin, Progress, and The End of History https://t.co/gQkBVLmJOf #history #Twitterstorians #Europe…",2022-06-21 21:57:49+00:00
84,_Thirunarayan1,"See the world's largest freshwater fish https://t.co/vh7ulcx6sb
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 21:57:10+00:00
85,Daniell56928659,"#Russia and #Putin's illegal &amp; bully-in-nature violent war to acquire land, resources &amp; expansionist policy has now displaced 13 MILLION ppl who lived in #Ukraine. 
@NATO @Bundeskanzler #armukraineproperly. 
https://t.co/OqDp1onoyC",2022-06-21 21:55:53+00:00
86,KateRoe18,"RT @Ewe_Paz_HeT: The most effective actions are those carried out by the most discreet people. You don't see them but you are already dead,…",2022-06-21 21:54:54+00:00
87,Evelynkyomu,Armed Forces of Ukraine loose 4 officers during  a combat mission against Russian Aggression https://t.co/xTdL3hPlWs #Ukraine #RussianWarCrimes #Russian #RussianSoldiers  #Russians #RussianInvasion #Russia #Putin #Nato #China #USA,2022-06-21 21:54:03+00:00
88,kyleAirs,Armed Forces of Ukraine loose 4 officers during  a combat mission against Russian Aggression https://t.co/cwwCmpIbh0 #Ukraine #RussianWarCrimes #Russian #RussianSoldiers  #Russians #RussianInvasion #Russia #Putin #Nato #China #USA,2022-06-21 21:54:02+00:00
89,TLlanelli,"@haynesdeborah #NATO 1.1 Billion people and huge military v
#Putin 140 Million Russians and much smaller military 

@NATO shot the #Russian helicopters down and send #Ukraine more planes and weapons to defeat #PutinWarCriminal https://t.co/veqSFVc0CC",2022-06-21 21:52:33+00:00
90,timgrecco,"@emilyrs #GeraldGrosz seems to be #Putin's far-right #MAGA candidate in #Austria's presidential election. This guy is definitely not a friend of #Zelensky's #Ukraine.
—
Video Source: Twitter https://t.co/jR5f4WGr9q",2022-06-21 21:50:25+00:00
91,Ewe_Paz_HeT,"The most effective actions are those carried out by the most discreet people. You don't see them but you are already dead, barbarians of the Middle Ages.
#Ukraine #UkraineWar #StandWithUkraine #Putin",2022-06-21 21:49:55+00:00
92,_Thirunarayan1,"RT @_Thirunarayan1: President #Biden Explains Why He Fell Off Bike 
https://t.co/VBKYMQiUzo 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #s…",2022-06-21 21:47:42+00:00
93,HelenFogarassy,"Summer. Freedom. No heavy clothes, kids off school. Stark contrat to heavy brutality of #Trump seen in 1/6 Cmtee, #Putin trasing #Ukraine, #American scapegoat of #Biden. #Trump whined ""give me a break"" to coax elex fraud. #Biden ousted him, steers global crises &amp; gets no thanx.",2022-06-21 21:46:25+00:00
94,literatt2,"RT @Matt_VanDyke: Live from Donbas in Ukraine where my organization Sons of Liberty International (SOLI) trains Ukrainians to fight, speaki…",2022-06-21 21:45:05+00:00
95,_Thirunarayan1,"President #Biden Explains Why He Fell Off Bike 
https://t.co/VBKYMQiUzo 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #shorts #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 21:42:53+00:00
96,_Thirunarayan1,"Biden Celebrates U.S. Approval Of Covid Vaccines For Children Under 5 
https://t.co/kkqEI7h6QJ 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #shorts #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 21:42:53+00:00
97,openforum_au,"#Putin’s quest to conquor the whole of #Ukraine has stalled, but his attempts to absorb the east of the country through brutal force and ethic cleansing echo the approach of his main role model.

https://t.co/R25FDM1pkC",2022-06-21 21:41:08+00:00
98,allindiatweet,RT @SanctionsAml: #Russia's economy (#inflation) hit post #sanctions re #Ukraine #war - but so too #Eurozone #EU #Germany #France #Italy #S…,2022-06-21 21:38:28+00:00
99,SanctionsAml,"#Russia's economy (#inflation) hit post #sanctions re #Ukraine #war - but so too #Eurozone #EU #Germany #France #Italy #Spain. Russia is now #China's biggest #oil supplier. At these #Oilprices, #Putin can afford to discount oil exports to #India China. 2 huge, captive markets. https://t.co/4eK3AUNs9L",2022-06-21 21:38:25+00:00
100,JediOpra,"RT @CanadianUkrain1: ⚡Sources in #Russia claim that #Putin has put the squeeze on #Lukashenko, and he's now preparing an invasion of the #V…",2022-06-20 06:31:31+00:00
101,norma_dzina,"RT @ResistUA: 📹 If #putin does not suffer a decisive defeat in #Ukraine, he will definitely go further in his mission to ""return"" the lost…",2022-06-20 06:31:20+00:00
102,seawiz2,"RT @jftaveira1993: .@Kasparov63: ""The escalation Mr. #Biden and other Western leaders say they fear if they take stronger action to support…",2022-06-20 06:31:18+00:00
103,zzzzzzAdy,"RT @SharleenLittle4: Putin deliberately provokes hunger in the world!
Moscow, by blocking Ukrainian ports, is striving for global destabili…",2022-06-20 06:30:38+00:00
104,DeuNachrichten,"❗️🇷🇺🇺🇦 #Highlights of #Russian #Military Operation in #Ukraine on June 18-19, 2022 by Rybar.
#UkraineRussiaWar #UkraineWar #UkraineKrieg #RussianUkrainianWar #RussiaUkraineWar #Russia #Ukrainian️ #UkrainianArmy #UkraineUnderAttack #Zelensky #Putin https://t.co/J2uVqOcj9H",2022-06-20 06:28:13+00:00
105,Aontaithe2021,"RT @CanadianUkrain1: ⚡Sources in #Russia claim that #Putin has put the squeeze on #Lukashenko, and he's now preparing an invasion of the #V…",2022-06-20 06:27:32+00:00
106,AlarrabAlroosi,"RT @Shevchenk0_Mila: The SBU obtained access to propaganda manuals of the Russian special services on the ""correct coverage of special oper…",2022-06-20 06:27:17+00:00
107,BirgerJohnsen,"RT @CanadianUkrain1: ⚡Sources in #Russia claim that #Putin has put the squeeze on #Lukashenko, and he's now preparing an invasion of the #V…",2022-06-20 06:26:43+00:00
108,_Thirunarayan1,"Winds fan wildfire to more than 2,000 acres in southern New Jersey https://t.co/zugxr1jAyJ
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-20 06:25:52+00:00
109,_Thirunarayan1,"Shooting near Washington, DC, concert leaves 15-year-old dead, wounds officer and 2 adults, police say https://t.co/LPXLFi1w3U
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-20 06:25:52+00:00
110,_Thirunarayan1,"Duterte's daughter calls for unity as she is sworn in as Philippine vice president https://t.co/RJnPlFfXkV
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-20 06:25:52+00:00
111,Lexipexieflexie,"RT @uasupport999: In St. Petersburg, activists fired a paintball gun at a statue of Putin in the guise of a Roman emperor.

#StPetersburg #…",2022-06-20 06:25:01+00:00
